Distance_KM,Vehicle_Type,Travel_Days,Fuel_Price,Passengers,Estimated_Cost
27,SUV,9,432,4,15406.4
97,Tuk Tuk,2,407,4,12797.9
20,SUV,7,450,3,11800
104,Mini Bus,9,388,6,36835.2
375,Mini Bus,9,447,10,105762.5
193,Tuk Tuk,7,440,6,28142
177,Mini Bus,1,427,14,50957.9
212,Tuk Tuk,3,373,3,23007.6
497,Mini Bus,3,432,5,126370.4
304,SUV,5,422,3,55808.8
367,Tuk Tuk,3,365,7,38245.5
127,Tuk Tuk,1,424,15,20234.8
112,Tuk Tuk,7,365,7,20188
359,Mini Bus,4,428,3,92665.2
330,Van,6,374,5,70342
27,SUV,6,436,10,15417.2
401,Mini Bus,7,445,2,106044.5
358,Tuk Tuk,9,367,6,43038.6
364,SUV,2,372,12,65220.8
189,Mini Bus,6,425,8,55832.5
212,SUV,4,351,14,43881.2
181,Van,9,444,5,46686.4
316,Car,6,384,4,45414.4
157,SUV,2,441,15,35263.7
90,Mini Bus,7,441,12,34969
424,Van,9,395,1,89848
380,Tuk Tuk,4,405,4,40390
106,Car,8,404,2,21762.4
338,Car,8,432,4,51641.6
348,Mini Bus,5,377,6,90719.6
214,SUV,5,379,13,45290.6
142,Van,5,351,15,38784.2
420,Mini Bus,3,393,13,110006
491,Car,10,434,11,76089.4
283,Mini Bus,2,360,15,76288
420,Van,2,399,2,82758
450,SUV,1,407,12,79315
352,Mini Bus,7,418,11,97613.6
254,Tuk Tuk,10,432,12,39672.8
488,Car,8,415,2,68292
205,Car,3,406,10,32723
345,Mini Bus,2,352,4,85144
230,Car,2,368,3,30364
445,Van,6,386,12,95927
164,Van,3,350,6,36340
223,SUV,10,436,6,49482.8
368,Mini Bus,9,364,15,103495.2
169,Tuk Tuk,6,381,13,27388.9
279,Mini Bus,3,441,10,76103.9
467,Mini Bus,7,397,11,124439.9
13,Van,1,449,13,10033.7
228,Car,2,392,11,34677.6
372,Van,2,432,1,74370.4
309,Tuk Tuk,3,419,6,34397.1
455,SUV,6,391,5,80890.5
269,Tuk Tuk,3,383,6,29752.7
400,Car,7,369,2,54760
139,Mini Bus,3,397,10,41318.3
344,Van,5,388,5,72447.2
199,Car,3,360,15,33584
234,Tuk Tuk,2,354,9,26483.6
361,Tuk Tuk,6,352,6,39757.2
481,Van,3,409,3,96322.9
440,SUV,7,395,8,81180
298,Van,4,408,1,61358.4
150,Van,4,361,4,33915
203,Tuk Tuk,2,352,12,25295.6
227,Car,5,380,3,33286
267,Van,1,428,3,53977.6
142,Tuk Tuk,10,424,2,24120.8
238,Mini Bus,4,396,12,67024.8
86,Mini Bus,7,387,12,33528.2
454,Mini Bus,9,360,8,120144
205,Van,2,396,8,44868
300,Mini Bus,3,414,5,77920
173,Tuk Tuk,6,398,14,28535.4
48,Van,9,427,12,24249.6
250,Tuk Tuk,8,353,8,33325
388,SUV,9,406,15,78812.8
481,Tuk Tuk,1,364,12,48558.4
412,Tuk Tuk,10,422,5,50486.4
87,SUV,3,360,10,21572
126,Tuk Tuk,7,411,10,23478.6
314,Mini Bus,6,355,3,81447
168,Mini Bus,9,388,14,56118.4
414,Van,8,352,14,91672.8
371,SUV,8,436,7,72195.6
93,Mini Bus,8,414,9,34950.2
285,Mini Bus,5,448,10,79768
105,Van,8,365,1,28082.5
489,Van,9,407,3,103752.3
78,SUV,4,417,10,21612.6
436,Tuk Tuk,3,373,11,46562.8
434,Tuk Tuk,2,384,13,46865.6
180,Van,3,446,1,38528
153,Tuk Tuk,4,369,8,21295.7
24,SUV,2,364,10,10753.6
274,Mini Bus,4,389,3,70958.6
168,SUV,3,356,6,32140.8
262,Mini Bus,5,422,7,71956.4
470,Tuk Tuk,1,418,8,48146
57,Car,10,407,5,19379.9
98,Mini Bus,2,421,6,28725.8
187,Van,8,370,1,43469
149,Mini Bus,1,440,2,38356
355,SUV,10,418,14,74439
275,Mini Bus,1,419,3,69022.5
89,Car,6,398,6,19662.2
32,Mini Bus,6,417,2,14734.4
283,Mini Bus,4,356,6,73674.8
289,Car,7,391,1,41919.9
196,SUV,6,374,6,39850.4
495,Van,6,358,15,105471
447,Van,6,399,3,92385.3
311,SUV,5,373,9,58420.3
278,Van,8,408,5,63542.4
325,Mini Bus,5,445,7,87962.5
304,Mini Bus,10,445,11,89828
153,Van,4,350,2,33305
353,Van,3,364,8,72799.2
124,Tuk Tuk,2,402,2,14184.8
378,Car,2,358,6,48772.4
170,Car,10,362,11,35254
357,Tuk Tuk,9,411,7,45022.7
338,Mini Bus,10,356,3,91132.8
44,Mini Bus,5,385,11,20994
288,Car,3,397,10,42473.6
411,Van,7,425,12,92117.5
372,Van,1,384,11,76584.8
490,SUV,4,425,1,84125
332,SUV,2,386,3,56155.2
193,Van,5,439,5,44922.7
363,Van,10,397,10,83861.1
335,Tuk Tuk,2,434,15,40789
47,Car,6,439,6,14823.3
116,Mini Bus,10,385,14,44666
266,Tuk Tuk,10,373,8,37221.8
497,Tuk Tuk,5,354,7,50943.8
341,Car,5,396,7,49283.6
100,Van,10,395,3,30450
311,SUV,3,435,8,57848.5
323,Van,4,422,4,68080.6
273,Mini Bus,9,401,5,77047.3
