Passengers,Budget_LKR,Travel_Duration_Days,Luggage_Size,Terrain_Type,Vehicle_Type
11,153692,8,Small,Wildlife,Mini Bus
15,245647,4,Medium,Wildlife,Mini Bus
10,177382,8,Medium,Wildlife,Van
5,59926,4,Large,Beach,SUV
15,327045,9,Large,Beach,Mini Bus
10,173426,4,Medium,Mixed,Van
14,289005,9,Medium,Mountain,Mini Bus
3,71406,6,Small,Beach,Car
4,97552,8,Small,Wildlife,SUV
9,216481,10,Large,Mountain,Van
15,328673,8,Small,Mountain,Mini Bus
6,68701,5,Large,City,SUV
7,89516,7,Small,City,Van
9,175737,3,Small,Wildlife,Van
10,128972,9,Large,Mountain,Van
9,139364,4,Large,City,Van
14,161015,3,Small,Mountain,Mini Bus
3,55616,4,Large,Mixed,Car
9,202727,8,Large,Wildlife,Van
15,202606,1,Large,Mountain,Mini Bus
5,96847,9,Large,Beach,SUV
11,115213,6,Small,Mountain,Mini Bus
15,279343,4,Small,Beach,Mini Bus
10,237930,10,Medium,City,Van
7,126475,10,Large,Wildlife,Van
5,74562,9,Large,City,SUV
1,19445,3,Large,Mountain,Tuk Tuk
5,106282,4,Small,Mixed,SUV
5,104738,6,Small,Beach,SUV
12,123800,8,Small,Beach,Mini Bus
13,250844,2,Medium,City,Mini Bus
11,147301,4,Small,Mixed,Mini Bus
11,153724,7,Small,Beach,Mini Bus
1,14464,2,Medium,Beach,Tuk Tuk
7,119448,9,Large,City,Van
2,35694,1,Medium,Wildlife,Tuk Tuk
7,83274,8,Medium,Wildlife,Van
9,119977,5,Small,City,Van
15,224090,2,Medium,Beach,Mini Bus
12,202728,10,Small,Wildlife,Mini Bus
14,209580,8,Medium,City,Mini Bus
5,90536,8,Small,Mixed,SUV
11,127594,2,Small,Mixed,Mini Bus
6,110849,7,Small,Beach,SUV
4,52502,2,Medium,Beach,Car
6,113075,1,Small,Beach,SUV
7,127278,5,Large,Mixed,Van
2,46326,4,Large,Mixed,Car
13,214652,6,Large,Mixed,Mini Bus
10,169530,2,Small,Mixed,Van
15,190193,4,Small,Mixed,Mini Bus
11,232805,7,Small,Wildlife,Mini Bus
1,25753,2,Medium,City,Tuk Tuk
6,100692,4,Medium,Mountain,SUV
4,47804,4,Medium,Mountain,Car
14,182398,10,Large,Wildlife,Mini Bus
8,154371,1,Small,City,Van
1,42254,9,Medium,Mixed,Car
11,226354,9,Medium,Beach,Mini Bus
2,48231,7,Small,Wildlife,Car
7,137126,9,Large,Beach,Van
13,235265,5,Small,Mountain,Mini Bus
2,48718,8,Large,Mountain,Car
7,87964,6,Medium,Mountain,Van
15,230625,10,Medium,Mixed,Mini Bus
3,42355,7,Small,City,Car
6,145420,10,Large,Mixed,SUV
2,55855,7,Medium,Mountain,Car
12,129485,1,Small,Beach,Mini Bus
9,196621,8,Small,Mixed,Van
1,46988,7,Small,Mountain,Car
8,189456,8,Medium,Mountain,Van
13,184347,8,Small,Beach,Mini Bus
10,138366,1,Large,City,Van
10,210114,8,Small,City,Van
12,213429,7,Medium,Wildlife,Mini Bus
14,171248,6,Large,City,Mini Bus
15,231560,5,Large,Beach,Mini Bus
5,50092,2,Large,Wildlife,SUV
5,111084,3,Large,Beach,SUV
5,129740,10,Large,Beach,SUV
5,87172,7,Small,Mountain,SUV
10,139452,6,Large,City,Van
8,154452,10,Large,Wildlife,Van
3,67535,5,Large,City,Car
7,105154,1,Large,Mixed,Van
13,192404,6,Small,Wildlife,Mini Bus
11,223161,1,Large,City,Mini Bus
4,85510,5,Large,Mixed,SUV
10,201202,1,Small,Wildlife,Van
5,91775,5,Large,Mountain,SUV
9,209265,10,Small,City,Van
4,106205,9,Small,City,SUV
11,162291,9,Small,Mountain,Mini Bus
13,217024,5,Medium,Beach,Mini Bus
4,96582,10,Large,City,SUV
1,17298,2,Large,Mountain,Tuk Tuk
